route_id;service_id;trip_id;trip_headsign;trip_short_name;direction_id;block_id;shape_id;wheelchair_accessible;bikes_allowed
1;16501;19480871;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477553;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477554;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480872;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480873;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477555;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480874;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477556;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480875;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477557;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480876;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477558;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477559;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480877;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480878;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477560;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477561;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480879;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477565;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480883;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480884;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477566;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477567;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480885;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19480886;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16401;19477568;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16401;19477569;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480887;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19480889;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477571;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480888;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16401;19477570;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480890;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477572;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19480898;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477580;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477562;1 SPRING GARDEN TO MUMFORD TERM;;0;28577;11820;0;0
1;16501;19480880;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19480899;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477581;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16401;19477575;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19480893;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16401;19477577;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480895;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19480881;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16401;19477563;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19483094;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16501;19483095;1 SPRING GARDEN TO MUMFORD TERM;;0;28576;11820;0;0
1;16501;19483096;1 SPRING GARDEN TO MUMFORD TERM;;0;28591;11820;0;0
1;16501;19483085;1 SPRING GARDEN TO MUMFORD TERM;;0;28540;11820;0;0
1;16501;19483088;1 SPRING GARDEN TO MUMFORD TERM;;0;28562;11820;0;0
1;16501;19483087;1 SPRING GARDEN TO MUMFORD TERM;;0;28599;11820;0;0
1;16501;19483086;1 SPRING GARDEN TO MUMFORD TERM;;0;28546;11820;0;0
1;16401;19477499;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11920;0;0
1;16501;19480817;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11920;0;0
1;16401;19477432;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480750;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480751;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477433;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477434;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480752;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480753;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477435;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477436;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480754;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477437;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480755;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480756;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477438;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480757;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477439;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
